date,state,Product,Problem,SRS,SRM
2023-01-11,in-br,UPS XP,Backup Problem,Installation Done,Whatsapp
2023-08-19,in-hr,UPS EB,No Output Voltage,Safari,Call
2023-06-29,in-dl,Stabilizer,Backup Problem,Installation Done,Whatsapp
2023-01-12,in-py,Online UPS,No Display,Installation Done,Dealer
2022-11-30,in-an,UPS EB,Backup Problem,Installation Done,Email
2023-06-14,in-rj,Stabilizer,BEEP Sound,Safari,Customer
2023-05-27,in-rj,Stabilizer,No Display,Safari,Call Center
2023-07-24,in-ml,Stabilizer,BEEP Sound,Spare Parts Unavailable,Carry in
2023-02-02,in-gj,Online UPS,Load Problem,Spare Parts Unavailable,Whatsapp
2023-06-16,in-ld,Jumbo,No Display,Estimation Pending Approval,Whatsapp
2022-12-24,in-tg,Jumbo,Backup Problem,Estimation Pending Approval,Customer
2023-03-08,in-br,Jumbo,Backup Problem,Safari,Email
2023-08-10,in-dd,UPS EB,Load Problem,Installation Done,Carry in
2022-12-05,in-rj,UPS EB,No Display,Estimation Pending Approval,Customer
2022-09-21,in-hp,Jumbo,Load Problem,Installation Done,Email
2023-01-20,in-ch,UPS XP,BEEP Sound,Safari,Dealer
2022-10-30,in-dd,UPS E2,Switch Problem,Estimation Pending Approval,Email
2023-03-18,in-tr,UPS E2,No Output Voltage,Safari,Call Center
2023-01-18,in-mp,UPS E2,Backup Problem,Installation Done,Carry in
2022-10-03,in-dd,UPS EB,Switch Problem,Safari,Carry in
2023-01-06,in-nl,Stabilizer,No Display,Safari,Call Center
2023-03-10,in-tr,UPS XP,Charging Problem,Spare Parts Unavailable,Carry in
2022-12-26,in-ka,Stabilizer,Switch Problem,Spare Parts Unavailable,Email
2022-11-24,in-ch,Stabilizer,Switch Problem,Assigned,Call
2023-04-13,in-py,Stabilizer,Switch Problem,Safari,Call
2022-11-11,in-gj,UPS EB,Charging Problem,Spare Parts Unavailable,Carry in
2022-10-02,in-ml,Stabilizer,Backup Problem,Installation Done,Email
2023-08-08,in-gj,UPS E2,No Display,Estimation Pending Approval,Email
2023-06-08,in-kl,UPS E2,Charging Problem,Estimation Pending Approval,Call
2023-08-26,in-rj,UPS EB,No Output Voltage,Installation Done,Dealer
2023-04-26,in-as,Stabilizer,BEEP Sound,Estimation Pending Approval,Dealer
2023-01-22,in-ut,UPS XP,Load Problem,Estimation Pending Approval,Carry in
2023-04-24,in-tn,Online UPS,Charging Problem,Safari,Email
2023-05-21,in-ld,Stabilizer,No Output Voltage,Installation Done,Whatsapp
2023-08-06,in-hr,UPS EB,Charging Problem,Spare Parts Unavailable,Customer
2023-07-07,in-kl,UPS E2,No Display,Safari,Customer
2023-03-30,in-ld,UPS XP,No Display,Spare Parts Unavailable,Email
2023-05-15,in-tr,UPS XP,Charging Problem,Assigned,Carry in
2023-03-21,in-tn,UPS E2,Charging Problem,Estimation Pending Approval,Call
2022-11-02,in-kl,UPS XP,Switch Problem,Safari,Whatsapp
2022-09-05,in-mz,UPS XP,BEEP Sound,Installation Done,Email
2023-06-17,in-tg,UPS XP,Switch Problem,Safari,Dealer
2022-12-15,in-sk,UPS XP,BEEP Sound,Safari,Call Center
2022-12-19,in-ar,UPS EB,Charging Problem,Assigned,Dealer
2023-06-27,in-mn,Jumbo,BEEP Sound,Spare Parts Unavailable,Dealer
2023-06-16,in-nl,UPS E2,No Display,Installation Done,Email
2022-09-11,in-dl,UPS EB,No Display,Estimation Pending Approval,Whatsapp
2022-12-13,in-ch,UPS E2,No Display,Installation Done,Carry in
2023-04-26,in-dd,UPS EB,No Output Voltage,Installation Done,Dealer
2023-01-27,in-as,Stabilizer,Charging Problem,Installation Done,Email
2023-03-07,in-mn,UPS E2,Backup Problem,Safari,Whatsapp
2023-06-05,in-mn,Stabilizer,BEEP Sound,Assigned,Dealer
2022-09-23,in-ga,UPS EB,Charging Problem,Assigned,Email
2023-04-09,in-ld,UPS XP,Backup Problem,Spare Parts Unavailable,Whatsapp
2022-10-19,in-br,Stabilizer,Backup Problem,Spare Parts Unavailable,Email
2022-12-08,in-ch,Online UPS,No Display,Spare Parts Unavailable,Whatsapp
2023-06-20,in-mp,UPS EB,No Display,Safari,Carry in
2023-04-26,in-tr,Online UPS,BEEP Sound,Estimation Pending Approval,Call
2023-02-14,in-kl,Stabilizer,Switch Problem,Assigned,Call Center
2022-10-16,in-gj,Jumbo,No Output Voltage,Estimation Pending Approval,Email
2022-09-30,in-or,UPS EB,Switch Problem,Installation Done,Carry in
2023-03-27,in-wb,Stabilizer,No Output Voltage,Assigned,Whatsapp
2023-04-18,in-pb,Stabilizer,Charging Problem,Estimation Pending Approval,Customer
2023-08-01,in-py,UPS XP,BEEP Sound,Assigned,Carry in
2022-09-15,in-mh,Online UPS,Switch Problem,Installation Done,Dealer
2023-01-28,in-py,Online UPS,Charging Problem,Estimation Pending Approval,Call Center
2023-01-18,in-wb,UPS E2,No Display,Assigned,Customer
2022-11-08,in-pb,UPS XP,No Display,Assigned,Call Center
2023-03-05,in-hp,Stabilizer,Backup Problem,Installation Done,Dealer
2023-02-24,in-mh,UPS E2,Switch Problem,Estimation Pending Approval,Email
2022-11-16,in-py,UPS EB,No Output Voltage,Estimation Pending Approval,Call Center
2023-02-03,in-ap,UPS EB,No Display,Spare Parts Unavailable,Customer
2023-08-13,in-dd,Stabilizer,Load Problem,Estimation Pending Approval,Dealer
2023-03-16,in-jh,Stabilizer,BEEP Sound,Safari,Whatsapp
2023-03-06,in-tr,Stabilizer,BEEP Sound,Safari,Call
2022-12-12,in-mn,UPS XP,Charging Problem,Safari,Call Center
2023-02-27,in-ch,Online UPS,Load Problem,Estimation Pending Approval,Whatsapp
2022-12-28,in-pb,Stabilizer,Load Problem,Installation Done,Whatsapp
2023-08-02,in-tr,Stabilizer,No Output Voltage,Spare Parts Unavailable,Whatsapp
2023-06-13,in-rj,Stabilizer,Switch Problem,Spare Parts Unavailable,Customer
2023-07-09,in-mz,Stabilizer,No Output Voltage,Installation Done,Whatsapp
2022-12-16,in-tg,UPS EB,No Display,Assigned,Carry in
2023-08-28,in-ar,Online UPS,BEEP Sound,Assigned,Call Center
2023-04-03,in-tn,UPS EB,Backup Problem,Assigned,Whatsapp
2022-11-26,in-ml,Online UPS,Load Problem,Estimation Pending Approval,Dealer
2023-07-03,in-ar,UPS E2,BEEP Sound,Spare Parts Unavailable,Carry in
2023-05-28,in-py,Jumbo,No Display,Estimation Pending Approval,Dealer
2022-09-18,in-dd,UPS EB,No Display,Assigned,Email
2023-03-29,in-hr,Online UPS,Charging Problem,Spare Parts Unavailable,Call
2022-10-19,in-kl,UPS EB,Switch Problem,Spare Parts Unavailable,Call
2022-11-19,in-or,UPS EB,Load Problem,Safari,Carry in
2023-05-02,in-tn,Jumbo,No Output Voltage,Spare Parts Unavailable,Call
2023-08-28,in-hp,Jumbo,Load Problem,Installation Done,Call Center
2022-10-08,in-ka,UPS EB,Charging Problem,Estimation Pending Approval,Email
2023-08-06,in-mp,UPS E2,BEEP Sound,Estimation Pending Approval,Call
2023-06-08,in-ch,Jumbo,Charging Problem,Installation Done,Carry in
2022-12-05,in-pb,UPS XP,Backup Problem,Estimation Pending Approval,Customer
2022-09-02,in-br,Stabilizer,Switch Problem,Estimation Pending Approval,Dealer
2023-08-22,in-tr,Online UPS,Load Problem,Installation Done,Whatsapp
2023-06-05,in-ka,UPS E2,No Display,Safari,Whatsapp
2023-03-09,in-dd,Stabilizer,No Display,Spare Parts Unavailable,Email
2023-03-28,in-py,Stabilizer,Switch Problem,Safari,Call Center
2023-08-11,in-tn,Jumbo,No Display,Assigned,Customer
2023-05-20,in-nl,Online UPS,Backup Problem,Installation Done,Dealer
2023-06-07,in-jh,Jumbo,Charging Problem,Spare Parts Unavailable,Call Center
2022-09-08,in-ct,UPS E2,Load Problem,Assigned,Dealer
2022-10-02,in-br,Jumbo,No Display,Assigned,Whatsapp
2022-10-18,in-mz,Online UPS,No Output Voltage,Spare Parts Unavailable,Call Center
2022-12-28,in-ap,UPS XP,Backup Problem,Safari,Whatsapp
2022-11-23,in-or,Stabilizer,Switch Problem,Assigned,Email
2022-12-05,in-py,UPS E2,Charging Problem,Estimation Pending Approval,Carry in
2022-12-21,in-hr,UPS E2,BEEP Sound,Estimation Pending Approval,Dealer
2022-12-28,in-up,Online UPS,No Display,Estimation Pending Approval,Customer
2022-12-26,in-ka,Jumbo,Load Problem,Estimation Pending Approval,Email
2022-12-03,in-ct,UPS EB,Switch Problem,Spare Parts Unavailable,Whatsapp
2022-12-27,in-ml,Jumbo,BEEP Sound,Safari,Whatsapp
2022-12-08,in-mn,Jumbo,Switch Problem,Spare Parts Unavailable,Carry in
2022-11-22,in-an,UPS EB,No Display,Installation Done,Customer
2022-10-05,in-ch,Stabilizer,No Display,Safari,Carry in
2023-05-30,in-kl,Jumbo,Switch Problem,Installation Done,Dealer
2022-11-06,in-tg,Online UPS,Charging Problem,Estimation Pending Approval,Customer
2023-05-17,in-pb,Jumbo,BEEP Sound,Safari,Dealer
2022-12-21,in-sk,UPS XP,No Output Voltage,Safari,Carry in
2022-09-05,in-br,Jumbo,Charging Problem,Installation Done,Whatsapp
2023-03-20,in-ka,UPS XP,BEEP Sound,Estimation Pending Approval,Customer
2023-03-11,in-mh,Jumbo,No Display,Installation Done,Customer
2023-08-27,in-gj,UPS E2,Backup Problem,Assigned,Dealer
2022-11-05,in-sk,Stabilizer,No Display,Safari,Customer
2022-10-25,in-gj,Stabilizer,Load Problem,Estimation Pending Approval,Whatsapp
2023-02-10,in-as,UPS E2,Switch Problem,Spare Parts Unavailable,Whatsapp
2023-08-24,in-ar,Online UPS,No Display,Safari,Call Center
2023-05-01,in-ap,Stabilizer,No Display,Assigned,Whatsapp
2022-09-25,in-ap,UPS E2,BEEP Sound,Safari,Dealer
2022-10-19,in-ch,Stabilizer,Load Problem,Safari,Dealer
2022-12-24,in-kl,Stabilizer,No Output Voltage,Estimation Pending Approval,Whatsapp
2023-03-13,in-jh,Online UPS,Load Problem,Estimation Pending Approval,Call Center
2023-04-04,in-tn,Stabilizer,BEEP Sound,Safari,Call
2023-04-27,in-nl,Online UPS,Charging Problem,Assigned,Whatsapp
2023-04-05,in-ka,Stabilizer,No Display,Estimation Pending Approval,Carry in
2022-10-17,in-rj,UPS E2,Load Problem,Spare Parts Unavailable,Customer
2023-03-11,in-tg,UPS EB,Backup Problem,Assigned,Email
2023-06-13,in-tg,Jumbo,No Display,Installation Done,Call
2022-10-21,in-nl,Stabilizer,No Output Voltage,Assigned,Call
2022-09-20,in-gj,UPS XP,Load Problem,Spare Parts Unavailable,Customer
2023-02-13,in-ld,UPS XP,No Display,Assigned,Carry in
2022-12-16,in-mh,Stabilizer,No Display,Safari,Dealer
2022-12-24,in-up,UPS XP,Backup Problem,Spare Parts Unavailable,Call Center
2023-04-09,in-ga,Jumbo,Backup Problem,Spare Parts Unavailable,Call Center
2022-09-30,in-dl,Online UPS,BEEP Sound,Installation Done,Carry in
2023-02-20,in-dn,UPS XP,Charging Problem,Spare Parts Unavailable,Email
2022-12-02,in-an,UPS E2,Charging Problem,Safari,Call
2022-09-05,in-tr,UPS E2,BEEP Sound,Spare Parts Unavailable,Call
2023-03-20,in-py,Jumbo,No Display,Safari,Email
2023-02-17,in-tn,Stabilizer,Switch Problem,Estimation Pending Approval,Dealer
2023-08-30,in-mn,UPS EB,Charging Problem,Spare Parts Unavailable,Whatsapp
2023-04-11,in-gj,UPS XP,BEEP Sound,Safari,Call Center
2023-04-07,in-ap,Jumbo,No Output Voltage,Spare Parts Unavailable,Customer
2023-08-07,in-ch,Jumbo,Charging Problem,Installation Done,Carry in
2023-05-27,in-up,UPS XP,Switch Problem,Installation Done,Dealer
2022-10-17,in-jh,Stabilizer,Backup Problem,Safari,Customer
2023-08-19,in-kl,Stabilizer,Charging Problem,Safari,Carry in
2022-11-16,in-gj,UPS EB,No Output Voltage,Assigned,Customer
2023-07-31,in-dl,UPS EB,No Output Voltage,Safari,Whatsapp
2023-03-06,in-ar,Online UPS,Charging Problem,Spare Parts Unavailable,Carry in
2022-11-01,in-or,Online UPS,Charging Problem,Spare Parts Unavailable,Call
2023-07-22,in-ut,Online UPS,Backup Problem,Assigned,Email
2022-12-02,in-ka,UPS XP,Charging Problem,Estimation Pending Approval,Whatsapp
2022-09-19,in-jh,Stabilizer,BEEP Sound,Spare Parts Unavailable,Dealer
2023-01-01,in-jh,Online UPS,Load Problem,Installation Done,Whatsapp
2023-01-25,in-ka,UPS E2,Load Problem,Safari,Whatsapp
2023-04-18,in-ld,UPS XP,Load Problem,Safari,Customer
2022-12-06,in-ut,Stabilizer,Charging Problem,Safari,Customer
2022-12-24,in-dd,Online UPS,Load Problem,Spare Parts Unavailable,Whatsapp
2023-04-27,in-dn,Online UPS,Switch Problem,Assigned,Customer
2023-05-21,in-ap,UPS E2,Load Problem,Estimation Pending Approval,Email
2023-01-15,in-tr,UPS EB,BEEP Sound,Safari,Call
2023-07-20,in-dn,Jumbo,BEEP Sound,Installation Done,Whatsapp
2023-03-25,in-dn,Jumbo,BEEP Sound,Assigned,Whatsapp
2023-03-03,in-dn,UPS EB,BEEP Sound,Installation Done,Dealer
2023-06-27,in-ga,UPS EB,No Output Voltage,Safari,Email
2023-04-22,in-mp,UPS XP,Backup Problem,Safari,Carry in
2022-11-12,in-an,UPS XP,No Display,Installation Done,Email
2023-03-27,in-br,Stabilizer,BEEP Sound,Spare Parts Unavailable,Dealer
2022-12-19,in-as,Jumbo,No Display,Assigned,Whatsapp
2022-10-22,in-dl,UPS XP,Load Problem,Estimation Pending Approval,Call Center
2022-11-02,in-br,UPS E2,BEEP Sound,Estimation Pending Approval,Dealer
2023-06-14,in-tg,Online UPS,Load Problem,Assigned,Customer
2023-04-06,in-pb,UPS EB,Load Problem,Estimation Pending Approval,Call
2023-05-20,in-gj,Stabilizer,Charging Problem,Safari,Call
2023-07-04,in-ar,UPS E2,Load Problem,Estimation Pending Approval,Whatsapp
2023-08-25,in-wb,Online UPS,Switch Problem,Estimation Pending Approval,Email
2023-03-17,in-up,Jumbo,Load Problem,Safari,Dealer
2022-11-21,in-ml,Stabilizer,Backup Problem,Assigned,Carry in
2022-11-04,in-ut,UPS XP,Backup Problem,Estimation Pending Approval,Call Center
2022-12-15,in-mh,UPS XP,Switch Problem,Estimation Pending Approval,Whatsapp
2023-01-08,in-sk,Stabilizer,Backup Problem,Assigned,Call
2022-10-25,in-an,UPS XP,No Display,Assigned,Whatsapp
2023-02-14,in-tg,Stabilizer,Charging Problem,Estimation Pending Approval,Carry in
2023-05-12,in-jh,Jumbo,No Display,Spare Parts Unavailable,Whatsapp
2023-03-06,in-ka,Stabilizer,Charging Problem,Spare Parts Unavailable,Call
2022-12-02,in-rj,Jumbo,BEEP Sound,Safari,Call
2023-08-25,in-sk,UPS XP,BEEP Sound,Spare Parts Unavailable,Call Center
2022-10-06,in-sk,Stabilizer,Load Problem,Safari,Call
2022-09-27,in-ld,UPS XP,Charging Problem,Safari,Carry in
2023-01-07,in-ct,UPS EB,BEEP Sound,Spare Parts Unavailable,Call
2023-08-06,in-ml,Online UPS,Switch Problem,Safari,Email
2023-08-26,in-sk,Stabilizer,Charging Problem,Estimation Pending Approval,Whatsapp
2023-02-10,in-up,UPS XP,No Output Voltage,Assigned,Carry in
2023-06-23,in-gj,UPS E2,Charging Problem,Safari,Whatsapp
2023-06-22,in-jh,Jumbo,No Output Voltage,Estimation Pending Approval,Customer
2022-10-20,in-br,UPS XP,Load Problem,Installation Done,Whatsapp
2023-03-14,in-ga,Stabilizer,BEEP Sound,Safari,Dealer
2023-06-12,in-an,UPS XP,Charging Problem,Assigned,Customer
2023-02-25,in-ct,Stabilizer,No Display,Spare Parts Unavailable,Carry in
2022-09-20,in-kl,UPS XP,Load Problem,Estimation Pending Approval,Carry in
2022-11-13,in-dd,Online UPS,Load Problem,Assigned,Call Center
2022-09-24,in-dl,Jumbo,BEEP Sound,Spare Parts Unavailable,Customer
2023-04-12,in-mh,UPS EB,No Display,Safari,Dealer
2023-01-27,in-kl,Online UPS,BEEP Sound,Assigned,Call Center
2023-03-17,in-ct,Jumbo,Backup Problem,Safari,Call Center
2023-05-01,in-hp,Stabilizer,Backup Problem,Safari,Customer
2023-05-04,in-dl,Online UPS,Load Problem,Assigned,Call
2023-05-03,in-ml,UPS EB,Charging Problem,Spare Parts Unavailable,Dealer
2022-09-18,in-gj,UPS XP,Load Problem,Installation Done,Dealer
2023-01-17,in-ap,Stabilizer,Backup Problem,Safari,Whatsapp
2022-09-25,in-ut,UPS EB,BEEP Sound,Assigned,Call Center
2022-11-06,in-tr,Stabilizer,Load Problem,Estimation Pending Approval,Call Center
2023-01-27,in-tr,UPS EB,Load Problem,Estimation Pending Approval,Carry in
2022-09-04,in-wb,Jumbo,Load Problem,Estimation Pending Approval,Customer
2022-11-30,in-mh,Online UPS,BEEP Sound,Spare Parts Unavailable,Call Center
2023-01-07,in-ka,Online UPS,Backup Problem,Estimation Pending Approval,Carry in
2022-09-27,in-hp,Online UPS,Backup Problem,Assigned,Dealer
2022-11-23,in-ml,Online UPS,Charging Problem,Assigned,Email
2023-04-01,in-dn,Jumbo,Backup Problem,Installation Done,Whatsapp
2023-04-13,in-gj,Stabilizer,BEEP Sound,Spare Parts Unavailable,Dealer
2023-02-09,in-dl,UPS XP,Load Problem,Spare Parts Unavailable,Email
2022-11-17,in-tn,UPS EB,No Display,Estimation Pending Approval,Call
2023-04-18,in-ld,Online UPS,BEEP Sound,Assigned,Call Center
2022-12-12,in-sk,Online UPS,No Display,Installation Done,Call Center
2022-12-07,in-tg,UPS XP,Charging Problem,Safari,Email
2023-01-23,in-up,Jumbo,Switch Problem,Assigned,Call Center
2022-10-13,in-sk,Jumbo,No Output Voltage,Spare Parts Unavailable,Call
2023-08-18,in-dn,Online UPS,No Output Voltage,Estimation Pending Approval,Carry in
2023-03-24,in-tn,UPS E2,BEEP Sound,Estimation Pending Approval,Carry in
2023-07-29,in-or,Jumbo,BEEP Sound,Spare Parts Unavailable,Call Center
2022-12-04,in-ar,Jumbo,No Display,Estimation Pending Approval,Dealer
2022-09-30,in-ct,UPS XP,Backup Problem,Estimation Pending Approval,Dealer
2022-10-28,in-an,UPS XP,Charging Problem,Estimation Pending Approval,Customer
2022-10-24,in-mp,UPS XP,BEEP Sound,Safari,Email
2022-10-14,in-as,UPS E2,No Display,Installation Done,Carry in
2023-01-24,in-ch,Jumbo,No Output Voltage,Installation Done,Email
2022-09-21,in-tg,Stabilizer,No Output Voltage,Estimation Pending Approval,Email
2022-09-12,in-up,UPS E2,Switch Problem,Spare Parts Unavailable,Call Center
2023-07-31,in-tn,UPS XP,Switch Problem,Safari,Call
2022-12-17,in-mz,Jumbo,No Output Voltage,Assigned,Email
2023-02-09,in-ka,Stabilizer,Load Problem,Spare Parts Unavailable,Dealer
2023-02-13,in-tr,Stabilizer,Switch Problem,Installation Done,Call Center
2022-11-27,in-hp,UPS E2,Load Problem,Estimation Pending Approval,Customer
2023-03-27,in-ml,Online UPS,Backup Problem,Assigned,Email
2023-08-17,in-ka,Jumbo,No Output Voltage,Spare Parts Unavailable,Call Center
2022-10-28,in-tr,UPS EB,No Display,Spare Parts Unavailable,Carry in
2023-07-19,in-ap,UPS E2,Switch Problem,Estimation Pending Approval,Whatsapp
2023-02-27,in-hp,Online UPS,Charging Problem,Safari,Whatsapp
2023-04-24,in-an,Online UPS,Backup Problem,Installation Done,Call Center
2023-01-20,in-nl,UPS EB,No Output Voltage,Spare Parts Unavailable,Call
2023-05-18,in-ch,UPS XP,Backup Problem,Assigned,Carry in
2022-12-13,in-pb,UPS E2,Load Problem,Estimation Pending Approval,Email
2022-11-24,in-tn,UPS EB,Backup Problem,Estimation Pending Approval,Whatsapp
2023-07-12,in-hp,UPS XP,No Display,Assigned,Carry in
2022-10-23,in-dd,Online UPS,Charging Problem,Spare Parts Unavailable,Email
2023-07-20,in-kl,Stabilizer,Switch Problem,Estimation Pending Approval,Call
2023-06-18,in-ka,UPS E2,No Display,Spare Parts Unavailable,Call
2023-08-22,in-kl,UPS XP,Load Problem,Safari,Carry in
2022-10-17,in-hr,Jumbo,Charging Problem,Estimation Pending Approval,Whatsapp
2022-12-29,in-ml,Jumbo,Switch Problem,Installation Done,Call
2023-01-24,in-as,UPS E2,Load Problem,Assigned,Call Center
2023-06-16,in-as,Online UPS,Charging Problem,Installation Done,Whatsapp
2022-10-21,in-wb,Online UPS,Load Problem,Estimation Pending Approval,Whatsapp
2022-10-18,in-dl,Jumbo,Switch Problem,Estimation Pending Approval,Call
2022-10-26,in-gj,Jumbo,Switch Problem,Spare Parts Unavailable,Call Center
2023-02-15,in-sk,UPS XP,Backup Problem,Spare Parts Unavailable,Customer
2023-07-07,in-gj,Stabilizer,BEEP Sound,Estimation Pending Approval,Carry in
2022-09-09,in-tr,Stabilizer,BEEP Sound,Assigned,Call Center
2022-09-05,in-dd,UPS E2,Charging Problem,Estimation Pending Approval,Carry in
2023-05-07,in-ch,Jumbo,Charging Problem,Installation Done,Email
2023-05-25,in-mh,Stabilizer,Backup Problem,Assigned,Dealer
2023-01-21,in-ld,UPS XP,Load Problem,Assigned,Customer
2023-04-02,in-dn,UPS XP,BEEP Sound,Installation Done,Customer
2022-10-26,in-tn,UPS E2,Backup Problem,Installation Done,Email
2023-06-17,in-up,UPS XP,Charging Problem,Assigned,Email
2022-09-24,in-or,UPS EB,Switch Problem,Installation Done,Dealer
2023-04-01,in-pb,UPS EB,Switch Problem,Estimation Pending Approval,Dealer
2022-12-08,in-as,UPS XP,Load Problem,Estimation Pending Approval,Call
2023-05-26,in-ld,UPS XP,BEEP Sound,Spare Parts Unavailable,Call
2023-02-10,in-jh,UPS XP,Charging Problem,Safari,Call Center
2023-07-05,in-br,UPS XP,Load Problem,Estimation Pending Approval,Carry in
2023-06-18,in-hp,UPS EB,Switch Problem,Estimation Pending Approval,Dealer
2023-04-30,in-jh,Online UPS,Backup Problem,Installation Done,Carry in
2022-12-10,in-tg,Jumbo,No Display,Assigned,Carry in
2023-06-03,in-br,UPS EB,No Display,Installation Done,Call
2022-12-14,in-ka,Stabilizer,BEEP Sound,Installation Done,Customer
2022-10-18,in-hr,Stabilizer,Load Problem,Spare Parts Unavailable,Email
2023-04-23,in-mz,UPS E2,Charging Problem,Installation Done,Carry in
2023-03-12,in-ga,Jumbo,Charging Problem,Spare Parts Unavailable,Customer
2022-11-09,in-nl,Online UPS,Load Problem,Estimation Pending Approval,Whatsapp
2023-02-07,in-py,UPS XP,BEEP Sound,Assigned,Dealer
2023-08-26,in-hp,Online UPS,Charging Problem,Spare Parts Unavailable,Dealer
2023-06-25,in-ml,Online UPS,Backup Problem,Installation Done,Whatsapp
2023-01-17,in-kl,Jumbo,Switch Problem,Assigned,Dealer
2022-10-14,in-an,UPS E2,BEEP Sound,Estimation Pending Approval,Email
